modelo;litografia;nucleos;threads;frequencia;freq_max;cache;consumo;single;multi
E5-2658;32;8;16;2,1;2,4;20;95;440;3143
E5-2658;32;8;16;2,1;2,4;20;95;121;3217
E5-2658;32;8;16;2,1;2,4;20;95;459;1181
E5-2658;32;8;16;2,1;2,4;20;95;476;1178
E5-2658;32;8;16;2,1;2,4;20;95;497;1142
E5-2658;32;8;16;2,1;2,4;20;95;497;1268
E5-2658;32;8;16;2,1;2,4;20;95;450;3633
E5-2658;32;8;16;2,1;2,4;20;95;494;2496
E5-2658;32;8;16;2,1;2,4;20;95;538;2831
E5-2658;32;8;16;2,1;2,4;20;95;406;1654
E5-2658;32;8;16;2,1;2,4;20;95;501;1601
E5-2658;32;8;16;2,1;2,4;20;95;502;1589
E5-2658;32;8;16;2,1;2,4;20;95;520;1643
E5-2658;32;8;16;2,1;2,4;20;95;433;3153
E5-2658;32;8;16;2,1;2,4;20;95;472;3873
E5-2658;32;8;16;2,1;2,4;20;95;471;3767
E5-2658;32;8;16;2,1;2,4;20;95;284;706
E5-2658;32;8;16;2,1;2,4;20;95;282;711
E5-2658;32;8;16;2,1;2,4;20;95;282;707
E5-2658;32;8;16;2,1;2,4;20;95;503;3772
E5-2687W;32;8;16;3,1;3,8;20;150;706;5345
E5-2687W;32;8;16;3,1;3,8;20;150;711;5492
E5-2687W;32;8;16;3,1;3,8;20;150;655;4987
E5-2687W;32;8;16;3,1;3,8;20;150;653;5049
E5-2687W;32;8;16;3,1;3,8;20;150;847;5922
E5-2687W;32;8;16;3,1;3,8;20;150;760;5675
E5-2687W;32;8;16;3,1;3,8;20;150;817;5788
E5-2687W;32;8;16;3,1;3,8;20;150;770;5736
E5-2687W;32;8;16;3,1;3,8;20;150;835;5836
E5-2687W;32;8;16;3,1;3,8;20;150;849;6001
E5-2687W;32;8;16;3,1;3,8;20;150;751;5663
E5-2687W;32;8;16;3,1;3,8;20;150;741;5665
E5-2687W;32;8;16;3,1;3,8;20;150;787;5603
E5-2687W;32;8;16;3,1;3,8;20;150;795;5626
E5-2687W;32;8;16;3,1;3,8;20;150;377;5201
E5-2687W;32;8;16;3,1;3,8;20;150;683;5562
E5-2687W;32;8;16;3,1;3,8;20;150;640;5550
E5-2687W;32;8;16;3,1;3,8;20;150;657;5203
E5-2687W;32;8;16;3,1;3,8;20;150;658;5189
E5-2687W;32;8;16;3,1;3,8;20;150;790;5728
E5-2687W;32;8;16;3,1;3,8;20;150;759;5700
E5-2687W;32;8;16;3,1;3,8;20;150;801;5962
E5-2687W;32;8;16;3,1;3,8;20;150;738;5672
E5-2687W;32;8;16;3,1;3,8;20;150;454;4990
E5-2687W;32;8;16;3,1;3,8;20;150;869;6202
E5-2687W;32;8;16;3,1;3,8;20;150;687;5475
E5-2687W;32;8;16;3,1;3,8;20;150;702;4968
E5-2687W;32;8;16;3,1;3,8;20;150;473;3590
E5-2687W;32;8;16;3,1;3,8;20;150;697;5496
E5-2687W;32;8;16;3,1;3,8;20;150;696;5480
E5-2687W;32;8;16;3,1;3,8;20;150;688;5063
E5-2687W;32;8;16;3,1;3,8;20;150;670;5173
E5-2687W;32;8;16;3,1;3,8;20;150;659;5132
E5-2687W;32;8;16;3,1;3,8;20;150;695;5129
E5-2687W;32;8;16;3,1;3,8;20;150;671;5464
E5-2687W;32;8;16;3,1;3,8;20;150;659;5195
E5-2687W;32;8;16;3,1;3,8;20;150;670;5272
E5-2687W;32;8;16;3,1;3,8;20;150;714;5539
E5-2687W;32;8;16;3,1;3,8;20;150;639;3401
E5-2687W;32;8;16;3,1;3,8;20;150;694;3211
E5-2687W;32;8;16;3,1;3,8;20;150;742;5525
E5-2687W;32;8;16;3,1;3,8;20;150;654;4965
E5-2687W;32;8;16;3,1;3,8;20;150;502;4998
E5-2687W;32;8;16;3,1;3,8;20;150;839;5842
E5-2687W;32;8;16;3,1;3,8;20;150;767;6066
E5-2687W;32;8;16;3,1;3,8;20;150;729;5966
E5-2687W;32;8;16;3,1;3,8;20;150;614;4311
E5-2687W;32;8;16;3,1;3,8;20;150;626;4532
E5-2687W;32;8;16;3,1;3,8;20;150;822;5757
E5-2687W;32;8;16;3,1;3,8;20;150;817;5756
E5-2687W;32;8;16;3,1;3,8;20;150;830;6066
E5-2687W;32;8;16;3,1;3,8;20;150;735;5479
E5-2687W;32;8;16;3,1;3,8;20;150;695;2209
E5-2687W;32;8;16;3,1;3,8;20;150;724;2408
E5-2687W;32;8;16;3,1;3,8;20;150;420;1268
E5-2687W;32;8;16;3,1;3,8;20;150;423;1259
E5-2687W;32;8;16;3,1;3,8;20;150;579;1925
E5-2687W;32;8;16;3,1;3,8;20;150;663;5083
E5-2687W;32;8;16;3,1;3,8;20;150;745;5535
E5-2687W;32;8;16;3,1;3,8;20;150;707;5255
E5-2687W;32;8;16;3,1;3,8;20;150;659;5002
E5-2687W;32;8;16;3,1;3,8;20;150;639;5091
E5-2687W;32;8;16;3,1;3,8;20;150;649;4529
E5-2687W;32;8;16;3,1;3,8;20;150;654;5062
E5-2687W;32;8;16;3,1;3,8;20;150;647;4926
E5-2687W;32;8;16;3,1;3,8;20;150;735;4478
E5-2687W;32;8;16;3,1;3,8;20;150;708;5514
E5-2687W;32;8;16;3,1;3,8;20;150;698;5189
E5-2687W;32;8;16;3,1;3,8;20;150;717;5305
E5-2687W;32;8;16;3,1;3,8;20;150;647;5184
E5-2687W;32;8;16;3,1;3,8;20;150;575;4944
E5-2687W;32;8;16;3,1;3,8;20;150;575;5417
E5-2687W;32;8;16;3,1;3,8;20;150;626;3281
E5-2687W;32;8;16;3,1;3,8;20;150;793;3453
E5-2687W;32;8;16;3,1;3,8;20;150;807;3343
E5-2687W;32;8;16;3,1;3,8;20;150;657;4959
E5-2687W;32;8;16;3,1;3,8;20;150;663;4922
E5-2687W;32;8;16;3,1;3,8;20;150;661;5032
E5-2687W;32;8;16;3,1;3,8;20;150;761;5683
E5-2687W;32;8;16;3,1;3,8;20;150;644;5469
E5-2687W;32;8;16;3,1;3,8;20;150;645;3567
E5-2687W;32;8;16;3,1;3,8;20;150;630;5147
E5-2687W;32;8;16;3,1;3,8;20;150;729;5463
E5-2687W;32;8;16;3,1;3,8;20;150;491;4842
E5-2687W;32;8;16;3,1;3,8;20;150;724;5301
E5-2687W;32;8;16;3,1;3,8;20;150;750;5699
E5-2687W;32;8;16;3,1;3,8;20;150;483;4458
E5-2687W;32;8;16;3,1;3,8;20;150;500;4633
